INFO     | 2022-03-25 09:42:44,799 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2022-03-25 09:42:53,986 | progress   |       Finished subset 1/3, 33.33 percent done
INFO     | 2022-03-25 09:42:54,822 | progress   |       Finished subset 2/3, 66.67 percent done
INFO     | 2022-03-25 09:42:55,251 | progress   |       Finished subset 3/3, 100.00 percent done
INFO     | 2022-03-25 09:42:55,252 | analysis_m |       Finding the best partitioning scheme
INFO     | 2022-03-25 09:42:55,254 | analysis_m |       Best scheme combines subsets: 'Gene1_pos1' and 'Gene1_pos2'
INFO     | 2022-03-25 09:42:55,255 | analysis_m |       The best scheme improves the aicc score by 31.65 to 11622.8
INFO     | 2022-03-25 09:42:55,262 | analysis_m |    ***Greedy algorithm step 2***
INFO     | 2022-03-25 09:42:55,263 | analysis_m |       Analysing 1 new subset pairs
INFO     | 2022-03-25 09:42:58,611 | progress   |       Finished subset 1/1, 100.00 percent done
INFO     | 2022-03-25 09:42:58,612 | analysis_m |       Finding the best partitioning scheme
INFO     | 2022-03-25 09:42:58,613 | analysis_m |       Found no schemes that improve the score, stopping
INFO     | 2022-03-25 09:42:58,614 | analysis_m |    Greedy algorithm finished after 2 steps
INFO     | 2022-03-25 09:42:58,614 | analysis_m |    Best scoring scheme is scheme step_1, with aicc score of 11622.772
INFO     | 2022-03-25 09:42:58,615 | model_util |    Information on best scheme is here: ./analysis/best_scheme.txt
INFO     | 2022-03-25 09:42:58,618 | model_util |    
INFO     | 2022-03-25 09:42:58,618 | model_util |    
INFO     | 2022-03-25 09:42:58,619 | model_util |    *Citations for this analysis*
INFO     | 2022-03-25 09:42:58,619 | model_util |    -----------------------------
INFO     | 2022-03-25 09:42:58,619 | model_util |    
INFO     | 2022-03-25 09:42:58,619 | model_util |    If you use this analysis in your published work, please cite the following papers on which your analysis relied.
INFO     | 2022-03-25 09:42:58,619 | model_util |    
INFO     | 2022-03-25 09:42:58,619 | model_util |    For the version of PartitionFinder you used, please cite:
INFO     | 2022-03-25 09:42:58,620 | model_util |    Lanfear, R., Frandsen, P. B., Wright, A. M., Senfeld, T., Calcott, B. (2016) PartitionFinder 2: new methods for selecting partitioned models of evolution formolecular and morphological phylogenetic analyses. Molecular biology and evolution. DOI: dx.doi.org/10.1093/molbev/msw260
INFO     | 2022-03-25 09:42:58,620 | model_util |    
INFO     | 2022-03-25 09:42:58,620 | model_util |    For the greedy algorithm you used, please cite:
INFO     | 2022-03-25 09:42:58,620 | model_util |    Lanfear, R., Calcott, B., Ho, S. Y., & Guindon, S. (2012). PartitionFinder: combined selection of partitioning schemes and substitution models for phylogenetic analyses. Molecular biology and evolution, 29(6), 1695-1701.
INFO     | 2022-03-25 09:42:58,620 | model_util |    
INFO     | 2022-03-25 09:42:58,621 | model_util |    Your analysis also used RAxML, so please cite:
INFO     | 2022-03-25 09:42:58,621 | model_util |    Stamatakis, A. (2014). RAxML version 8: a tool for phylogenetic analysis and post-analysis of large phylogenies. Bioinformatics, 30(9), 1312-1313.
INFO     | 2022-03-25 09:42:58,621 | model_util |    
INFO     | 2022-03-25 09:42:58,625 | main       | Total processing time: 0:00:14 (h:m:s)
INFO     | 2022-03-25 09:42:58,625 | main       | Processing complete.
INFO     | 2022-03-25 09:45:01,659 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2022-03-25 09:45:01,663 | config     | Setting 'alignment' to 'Albugo_cox2_mafft_alignment_20220325-1.phy'
INFO     | 2022-03-25 09:45:01,663 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2022-03-25 09:45:01,663 | parser     | You set 'models' to: all
INFO     | 2022-03-25 09:45:01,677 | model_load | This analysis will use the following 3 models of molecular evolution
INFO     | 2022-03-25 09:45:01,677 | model_load | GTR, GTR+G, GTR+I+G
INFO     | 2022-03-25 09:45:01,678 | config     | Setting 'model_selection' to 'aicc'
INFO     | 2022-03-25 09:45:01,679 | config     | Setting 'search' to 'greedy'
INFO     | 2022-03-25 09:45:01,679 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2022-03-25 09:45:01,679 | config     | Looking for alignment file './Albugo_cox2_mafft_alignment_20220325-1.phy'...
INFO     | 2022-03-25 09:45:01,679 | threadpool | Using 32 cpus
INFO     | 2022-03-25 09:45:01,679 | analysis   | Beginning Analysis
INFO     | 2022-03-25 09:45:01,704 | config     | Checking previously run configuration data...
INFO     | 2022-03-25 09:45:01,710 | alignment  | Reading alignment file './Albugo_cox2_mafft_alignment_20220325-1.phy'
INFO     | 2022-03-25 09:45:01,711 | alignment  | Reading alignment file './analysis/start_tree/source.phy'
INFO     | 2022-03-25 09:45:01,722 | analysis   | Starting tree file found.
INFO     | 2022-03-25 09:45:01,723 | analysis_m | Performing Greedy Analysis
INFO     | 2022-03-25 09:45:01,723 | analysis_m |    *** Analysing starting scheme ***
INFO     | 2022-03-25 09:45:01,727 | progress   |       Finished subset 1/3, 33.33 percent done
INFO     | 2022-03-25 09:45:01,728 | progress   |       Finished subset 2/3, 66.67 percent done
INFO     | 2022-03-25 09:45:01,729 | progress   |       Finished subset 3/3, 100.00 percent done
INFO     | 2022-03-25 09:45:01,731 | analysis_m |    ***Greedy algorithm step 1***
INFO     | 2022-03-25 09:45:01,731 | analysis_m |       Analysing 3 new subset pairs
INFO     | 2022-03-25 09:45:01,732 | progress   |       Finished subset 1/3, 33.33 percent done
INFO     | 2022-03-25 09:45:01,733 | progress   |       Finished subset 2/3, 66.67 percent done
INFO     | 2022-03-25 09:45:01,734 | progress   |       Finished subset 3/3, 100.00 percent done
INFO     | 2022-03-25 09:45:01,735 | analysis_m |       Finding the best partitioning scheme
INFO     | 2022-03-25 09:45:01,735 | analysis_m |       Best scheme combines subsets: 'Gene1_pos1' and 'Gene1_pos2'
INFO     | 2022-03-25 09:45:01,736 | analysis_m |       The best scheme improves the aicc score by 31.55 to 11665.5
INFO     | 2022-03-25 09:45:01,741 | analysis_m |    ***Greedy algorithm step 2***
INFO     | 2022-03-25 09:45:01,742 | analysis_m |       Analysing 1 new subset pairs
INFO     | 2022-03-25 09:45:01,743 | progress   |       Finished subset 1/1, 100.00 percent done
INFO     | 2022-03-25 09:45:01,743 | analysis_m |       Finding the best partitioning scheme
INFO     | 2022-03-25 09:45:01,743 | analysis_m |       Found no schemes that improve the score, stopping
INFO     | 2022-03-25 09:45:01,743 | analysis_m |    Greedy algorithm finished after 2 steps
INFO     | 2022-03-25 09:45:01,743 | analysis_m |    Best scoring scheme is scheme step_1, with aicc score of 11665.512
INFO     | 2022-03-25 09:45:01,743 | model_util |    Information on best scheme is here: ./analysis/best_scheme.txt
INFO     | 2022-03-25 09:45:01,755 | model_util |    
INFO     | 2022-03-25 09:45:01,755 | model_util |    
INFO     | 2022-03-25 09:45:01,755 | model_util |    *Citations for this analysis*
INFO     | 2022-03-25 09:45:01,755 | model_util |    -----------------------------
INFO     | 2022-03-25 09:45:01,755 | model_util |    
INFO     | 2022-03-25 09:45:01,755 | model_util |    If you use this analysis in your published work, please cite the following papers on which your analysis relied.
INFO     | 2022-03-25 09:45:01,755 | model_util |    
INFO     | 2022-03-25 09:45:01,755 | model_util |    For the version of PartitionFinder you used, please cite:
INFO     | 2022-03-25 09:45:01,756 | model_util |    Lanfear, R., Frandsen, P. B., Wright, A. M., Senfeld, T., Calcott, B. (2016) PartitionFinder 2: new methods for selecting partitioned models of evolution formolecular and morphological phylogenetic analyses. Molecular biology and evolution. DOI: dx.doi.org/10.1093/molbev/msw260
INFO     | 2022-03-25 09:45:01,756 | model_util |    
INFO     | 2022-03-25 09:45:01,756 | model_util |    For the greedy algorithm you used, please cite:
INFO     | 2022-03-25 09:45:01,756 | model_util |    Lanfear, R., Calcott, B., Ho, S. Y., & Guindon, S. (2012). PartitionFinder: combined selection of partitioning schemes and substitution models for phylogenetic analyses. Molecular biology and evolution, 29(6), 1695-1701.
INFO     | 2022-03-25 09:45:01,756 | model_util |    
INFO     | 2022-03-25 09:45:01,756 | model_util |    Your analysis also used RAxML, so please cite:
INFO     | 2022-03-25 09:45:01,756 | model_util |    Stamatakis, A. (2014). RAxML version 8: a tool for phylogenetic analysis and post-analysis of large phylogenies. Bioinformatics, 30(9), 1312-1313.
INFO     | 2022-03-25 09:45:01,756 | model_util |    
INFO     | 2022-03-25 09:45:01,758 | main       | Total processing time: 0:00:00 (h:m:s)
INFO     | 2022-03-25 09:45:01,758 | main       | Processing complete.
